#X		Y		Y_low		Y_high
17.3076923077  -11.7532544379	-11.8550295858	-11.6642011834
17.4102564103  -11.7023668639	-11.7914201183	-11.626035503	
17.5128205128  -11.6133136095	-11.7023668639	-11.524260355	
17.6153846154  -11.549704142	-11.6387573964	-11.4733727811
17.7179487179  -11.5369822485	-11.6387573964	-11.4606508876
17.7692307692  -11.4860946746	-11.600591716	-11.3843195266
17.9230769231  -11.3461538462	-11.4352071006	-11.2443786982	
18.0256410256  -11.2571005917	-11.3588757396	-11.15532544	
18.1794871795  -11.1934911243	-11.3079881657	-11.0789940828
